id,parent_id,admin_level,name,relation_name
24,1,4,śląskie,województwo śląskie
2401,24,6,będziński,powiat będziński
2402,24,6,bielski,powiat bielski
2403,24,6,cieszyński,powiat cieszyński
2404,24,6,częstochowski,powiat częstochowski
2405,24,6,gliwicki,powiat gliwicki
2406,24,6,kłobucki,powiat kłobucki
2407,24,6,lubliniecki,powiat lubliniecki
2408,24,6,mikołowski,powiat mikołowski
2409,24,6,myszkowski,powiat myszkowski
2410,24,6,pszczyński,powiat pszczyński
2411,24,6,raciborski,powiat raciborski
2412,24,6,rybnicki,powiat rybnicki
2413,24,6,tarnogórski,powiat tarnogórski
2414,24,6,bieruńsko-lędziński,powiat bieruńsko-lędziński
2415,24,6,wodzisławski,powiat wodzisławski
2416,24,6,zawierciański,powiat zawierciański
2417,24,6,żywiecki,powiat żywiecki
2461,24,6,Bielsko-Biała,miasto na prawach powiatu Bielsko-Biała
2462,24,6,Bytom,miasto na prawach powiatu Bytom
2463,24,6,Chorzów,miasto na prawach powiatu Chorzów
2464,24,6,Częstochowa,miasto na prawach powiatu Częstochowa
2465,24,6,Dąbrowa Górnicza,miasto na prawach powiatu Dąbrowa Górnicza
2466,24,6,Gliwice,miasto na prawach powiatu Gliwice
2467,24,6,Jastrzębie-Zdrój,miasto na prawach powiatu Jastrzębie-Zdrój
2468,24,6,Jaworzno,miasto na prawach powiatu Jaworzno
2469,24,6,Katowice,miasto na prawach powiatu Katowice
2470,24,6,Mysłowice,miasto na prawach powiatu Mysłowice
2471,24,6,Piekary Śląskie,miasto na prawach powiatu Piekary Śląskie
2472,24,6,Ruda Śląska,miasto na prawach powiatu Ruda Śląska
2473,24,6,Rybnik,miasto na prawach powiatu Rybnik
2474,24,6,Siemianowice Śląskie,miasto na prawach powiatu Siemianowice Śląskie
2475,24,6,Sosnowiec,miasto na prawach powiatu Sosnowiec
2476,24,6,Świętochłowice,miasto na prawach powiatu Świętochłowice
2477,24,6,Tychy,miasto na prawach powiatu Tychy
2478,24,6,Zabrze,miasto na prawach powiatu Zabrze
2479,24,6,Żory,miasto na prawach powiatu Żory
26,1,4,świętokrzyskie,województwo świętokrzyskie
2601,26,6,buski,powiat buski
2602,26,6,jędrzejowski,powiat jędrzejowski
2603,26,6,kazimierski,powiat kazimierski
2604,26,6,kielecki,powiat kielecki
2605,26,6,konecki,powiat konecki
2606,26,6,opatowski,powiat opatowski
2607,26,6,ostrowiecki,powiat ostrowiecki
2608,26,6,pińczowski,powiat pińczowski
2609,26,6,sandomierski,powiat sandomierski
2610,26,6,skarżyski,powiat skarżyski
2611,26,6,starachowicki,powiat starachowicki
2612,26,6,staszowski,powiat staszowski
2613,26,6,włoszczowski,powiat włoszczowski
2661,26,6,Kielce,miasto na prawach powiatu Kielce
28,1,4,warmińsko-mazurskie,województwo warmińsko-mazurskie
2801,28,6,bartoszycki,powiat bartoszycki
2802,28,6,braniewski,powiat braniewski
2803,28,6,działdowski,powiat działdowski
2804,28,6,elbląski,powiat elbląski
